Latitude,Longitude,
37.8676712,-122.2510212," 2400 WARRING ST, Berkeley, CA"
37.865137,-122.25668,"2500 HILLEGASS AVE, Berkeley, CA"
37.8742101,-122.2732945,"1900 DELAWARE ST, Berkeley, CA"
37.8669986,-122.2632481," 2300 DURANT AVE, Berkeley, CA"
37.869393,-122.26933," ALLSTON WAY& SHATIUCK AVE, Berkeley, CA"
37.865137,-122.25668," 2500 HILLEGASS AVE, Berkeley, CA"
37.86215,-122.248859," 2900 DERBY ST, Berkeley, CA"
37.8649541,-122.2589126," 2500 TELEGRAPH  AVE, Berkeley, CA"
37.8617894,-122.2535259," DERBY ST&   COLLEGE AVE, Berkeley, CA"
37.865137,-122.25668," 2500 HILLEGASS AVE, Berkeley, CA"
37.8527476,-122.2836737," 1300 ASHBY AVE, Berkeley, CA"
37.8514812,-122.2786527," 3100 SACRAMENTO ST, Berkeley, CA"
37.8651878,-122.2577886,"2500 REGENT ST, Berkeley, CA"
37.8636477,-122.2627846," 2300 BLAKE ST, Berkeley, CA"
37.8760345,-122.2603253," 2500 RIDGE RD, Berkeley, CA"
37.8675433,-122.2521006," 2400 PIEDMONT AVE, Berkeley, CA"
37.8734511,-122.2706227," 2000 HEARST AVE, Berkeley, CA"
37.8676712,-122.2510212," 2400 WARRING ST, Berkeley, CA"
37.8621152,-122.2535402," 2700 DERBY ST, Berkeley, CA"
37.865331,-122.2552602,"2500 BENVENUE AVE, Berkeley, CA"
37.867814,-122.2589767,"DURANT AVE& TELEGRAPH  AVE, Berkeley, CA"
37.8657305,-122.260915,"DANA ST&  HASTE ST, Berkeley, CA"
37.8729795,-122.2957875,"1700 NINTH ST, Berkeley, CA"
37.882928,-122.279578,"COLUSA AVE& HOPKINS ST, Berkeley, CA"
37.8623555,-122.2645252,"2200 PARKER ST, Berkeley, CA"
37.8654385,-122.2527355,"2500 ETNA ST, Berkeley, CA"
37.865331,-122.2552602,"2500 BENVENUE AVE, Berkeley, CA"
37.8675433,-122.2521006,"2400 PIEDMONT AVE, Berkeley, CA"
37.871216,-122.2752559,"UNIVERSITY AVE& GRANT ST, Berkeley, CA"
37.8541893,-122.2791422,"1500 JULIA ST, Berkeley, CA"
37.8612548,-122.2600014,"2400 DERBY ST, Berkeley, CA"
